Row No,Brand,Laptop Type,Inches,Ram,Memory,Operating System,Weight(In Grams),Price,Touch Screen,IPS,Retina,Width,Height,Maximum Display Resolution,Menory,Primary Storage,Secondary Storage,Primary Storage Type,Secondary Storage Type,Clock Speed,Processor Brand,Processor Model,GPU Brand,GPU Model
594,Lenovo,2 in 1 Convertible,15.6,8GB,256GB SSD,Windows 10,2000.0,69211.0,Yes,Yes,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.8GHz,Intel,Core i7 7700HQ,Intel,HD Graphics 630
595,Acer,Notebook,14,4GB,128GB Flash Storage,Windows 10,1600.0,18595.0,No,No,No,1366.0,768.0,HD / HD+,128GB Flash Storage,128GB Flash Storage,Not Available,Flash,Not Available,1.6GHz,Intel,Pentium Quad Core N3710,Intel,HD Graphics 405
596,Lenovo,Notebook,15.6,32GB,1TB SSD,Windows 10,2500.0,261019.0,No,Yes,No,3840.0,2160.0,HD / HD+,1TB SSD,1TB SSD,Not Available,SSD,Not Available,3.1GHz,Intel,Xeon E3-1535M v6,Nvidia,Quadro M2200M
597,Dell,Gaming,15.6,16GB,1TB HDD,Windows 10,2600.0,46834.0,No,No,No,1920.0,1080.0,Full HD (FHD),1TB HDD,1TB HDD,Not Available,HDD,Not Available,2.6GHz,Intel,Core i7 6700HQ,Nvidia,GeForce GTX 960<U+039C>
598,Dell,Notebook,15.6,4GB,1TB HDD,Linux,2200.0,23651.0,No,No,No,1366.0,768.0,Full HD (FHD),1TB HDD,1TB HDD,Not Available,HDD,Not Available,2.0GHz,Intel,Core i3 6006U,Intel,HD Graphics 520
599,Dell,Notebook,15.6,4GB,1TB HDD,Linux,2200.0,19128.0,No,No,No,1366.0,768.0,HD / HD+,1TB HDD,1TB HDD,Not Available,HDD,Not Available,2.0GHz,Intel,Core i3 6006U,Intel,HD Graphics 520
600,Dell,Notebook,15.6,4GB,500GB HDD,Linux,1900.0,46300.0,No,No,No,1366.0,768.0,HD / HD+,500GB HDD,500GB HDD,Not Available,HDD,Not Available,2.6GHz,Intel,Core i5 7300U,Intel,HD Graphics 620
601,Asus,Gaming,17.3,8GB,128GB SSD +  1TB HDD,Windows 10,3000.0,62231.0,No,No,No,1920.0,1080.0,Full HD (FHD),128GB SSD +  1TB HDD,128GB SSD,1TB HDD,SSD,HDD,2.8GHz,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050
602,HP,Ultrabook,15.6,8GB,512GB SSD,Windows 10,1800.0,74006.0,No,No,No,1920.0,1080.0,Full HD (FHD),512GB SSD,512GB SSD,Not Available,SSD,Not Available,2.7GHz,Intel,Core i7 7500U,Intel,HD Graphics 620
603,MSI,Gaming,15.6,16GB,256GB SSD +  1TB HDD,Windows 10,2900.0,120832.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD +  1TB HDD,256GB SSD,1TB HDD,SSD,HDD,2.8GHz,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1070
604,Acer,2 in 1 Convertible,11.6,4GB,32GB Flash Storage,Chrome OS,1200.0,20193.0,Yes,Yes,No,1366.0,768.0,Full HD (FHD),32GB Flash Storage,32GB Flash Storage,Not Available,Flash,Not Available,1.6GHz,Intel,Celeron Quad Core N3160,Intel,HD Graphics 400
605,HP,Notebook,14,8GB,256GB SSD,Windows 10,2300.0,59887.0,No,No,No,1366.0,768.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.6GHz,Intel,Core i5 7300U,Intel,HD Graphics 620
606,Lenovo,Notebook,14,8GB,256GB SSD,Windows 7,1600.0,78055.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.3GHz,Intel,Core i5 6200U,Intel,HD Graphics 520
607,Dell,Notebook,15.6,4GB,1TB HDD,Windows 10,2200.0,41345.0,No,No,No,1920.0,1080.0,Full HD (FHD),1TB HDD,1TB HDD,Not Available,HDD,Not Available,1.6GHz,Intel,Core i5 8250U,AMD,Radeon 530
608,Fujitsu,Notebook,15.6,8GB,256GB SSD,Windows 10,2200.0,42571.0,No,No,No,1366.0,768.0,HD / HD+,256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.5GHz,Intel,Core i5 7200U,Intel,HD Graphics 620
609,HP,Notebook,15.6,4GB,500GB HDD,Windows 7,1900.0,49657.0,No,No,No,1366.0,768.0,Full HD (FHD),500GB HDD,500GB HDD,Not Available,HDD,Not Available,2.3GHz,Intel,Core i5 6200U,Intel,HD Graphics 520
610,Mediacom,Notebook,14,2GB,32GB Flash Storage,Windows 10,1400.0,12734.0,No,No,No,1920.0,1080.0,Quad HD+ (QHD+),32GB Flash Storage,32GB Flash Storage,Not Available,Flash,Not Available,1.44GHz,Intel,Atom x5-Z8350,Intel,HD Graphics
611,Lenovo,Notebook,15.6,4GB,128GB SSD,No OS,2200.0,24935.0,No,No,No,1920.0,1080.0,HD / HD+,128GB SSD,128GB SSD,Not Available,SSD,Not Available,2.5GHz,Intel,Core i5 7200U,Intel,HD Graphics 620
612,Asus,2 in 1 Convertible,13.3,6GB,1TB HDD,Windows 10,1500.0,34046.0,Yes,No,No,1920.0,1080.0,Full HD (FHD),1TB HDD,1TB HDD,Not Available,HDD,Not Available,2.5GHz,Intel,Core i5 7200U,Intel,HD Graphics 620
613,Asus,Ultrabook,14,16GB,512GB SSD,Windows 10,11100.0,101232.0,No,No,No,1920.0,1080.0,4K Ultra HD (UHD),512GB SSD,512GB SSD,Not Available,SSD,Not Available,2.7GHz,Intel,Core i7 7500U,Intel,HD Graphics 620
614,Dell,Gaming,15.6,16GB,256GB SSD +  1TB HDD,Windows 10,2600.0,78801.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD +  1TB HDD,256GB SSD,1TB HDD,SSD,HDD,2.8GHz,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050 Ti
615,Lenovo,Notebook,15.6,4GB,256GB SSD,Windows 10,1800.0,44169.0,No,No,No,1920.0,1080.0,HD / HD+,256GB SSD,256GB SSD,Not Available,SSD,Not Available,1.6GHz,Intel,Core i5 8250U,Intel,UHD Graphics 620
616,Lenovo,Notebook,15.6,4GB,1TB HDD,Windows 10,2200.0,30849.0,No,No,No,1920.0,1080.0,Full HD (FHD),1TB HDD,1TB HDD,Not Available,HDD,Not Available,2GHz,Intel,Core i3 6006U,Nvidia,GeForce 920MX
617,Asus,Notebook,15.6,8GB,1TB HDD,Windows 10,2000.0,21259.0,No,No,No,1366.0,768.0,Full HD (FHD),1TB HDD,1TB HDD,Not Available,HDD,Not Available,1.1GHz,Intel,Celeron Dual Core N3350,Intel,HD Graphics 500
618,Asus,Notebook,15.6,8GB,1TB HDD,Windows 10,2000.0,48305.0,No,No,No,1920.0,1080.0,HD / HD+,1TB HDD,1TB HDD,Not Available,HDD,Not Available,2.5GHz,Intel,Core i5 7300HQ,Nvidia,GeForce GTX 1050
619,Dell,Ultrabook,13.3,8GB,256GB SSD,Windows 10,1200.0,99580.0,Yes,No,No,3200.0,1800.0,HD / HD+,256GB SSD,256GB SSD,Not Available,SSD,Not Available,1.6GHz,Intel,Core i5 8250U,Intel,UHD Graphics 620
620,Lenovo,Notebook,14,2GB,32GB Flash Storage,Windows 10,1400.0,13267.0,No,No,No,1366.0,768.0,Full HD (FHD),32GB Flash Storage,32GB Flash Storage,Not Available,Flash,Not Available,1.6GHz,Intel,Celeron Dual Core N3060,Intel,HD Graphics 400
621,Lenovo,2 in 1 Convertible,13.3,8GB,256GB SSD,Windows 10,1400.0,93635.0,Yes,Yes,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.7GHz,Intel,Core i7 7500U,Intel,HD Graphics 620
622,Dell,Notebook,15.6,16GB,1TB SSD,Windows 10,2100.0,127819.0,Yes,No,No,3840.0,2160.0,Full HD (FHD),1TB SSD,1TB SSD,Not Available,SSD,Not Available,2.8GHz,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050
623,Lenovo,Gaming,15.6,8GB,128GB SSD +  1TB HDD,Windows 10,2500.0,59088.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),128GB SSD +  1TB HDD,128GB SSD,1TB HDD,SSD,HDD,2.8GHz,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050M
624,HP,Notebook,17,8GB,1TB HDD,Windows 10,2600.0,27754.0,No,No,No,1600.0,900.0,Full HD (FHD),1TB HDD,1TB HDD,Not Available,HDD,Not Available,3GHz,AMD,A9-Series 9420,AMD,Radeon R5
625,Lenovo,Ultrabook,14,16GB,512GB SSD,Windows 10,1100.0,130536.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),512GB SSD,512GB SSD,Not Available,SSD,Not Available,2.7GHz,Intel,Core i7 7500U,Intel,HD Graphics 620
626,Asus,Gaming,15.6,8GB,1TB HDD,No OS,2500.0,62284.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),1TB HDD,1TB HDD,Not Available,HDD,Not Available,2.8GHz,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050 Ti
627,Acer,Notebook,15.6,4GB,500GB HDD,Windows 10,2400.0,23976.0,No,No,No,1366.0,768.0,Full HD (FHD),500GB HDD,500GB HDD,Not Available,HDD,Not Available,2GHz,Intel,Core i3 6006U,Intel,HD Graphics 520
628,Lenovo,Notebook,14,4GB,32GB Flash Storage,Windows 10,1400.0,14599.0,No,No,No,1366.0,768.0,HD / HD+,32GB Flash Storage,32GB Flash Storage,Not Available,Flash,Not Available,1.6GHz,Intel,Celeron Dual Core N3060,Intel,HD Graphics
629,Acer,Ultrabook,14,8GB,256GB SSD,Windows 10,1800.0,48964.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.5GHz,Intel,Core i5 7200U,Intel,Graphics 620
630,Razer,Gaming,14,16GB,256GB SSD,Windows 10,2000.0,138475.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.8GHz,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1060
631,Toshiba,Notebook,13.3,8GB,256GB SSD,Windows 10,1200.0,64629.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.3GHz,Intel,Core i5 6200U,Intel,HD Graphics 520
632,Lenovo,Ultrabook,12.5,8GB,256GB SSD,Windows 10,1400.0,84396.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.7GHz,Intel,Core i7 7500U,Intel,HD Graphics 620
633,Asus,Gaming,17.3,32GB,512GB SSD,Windows 10,3800.0,149131.0,No,Yes,No,1920.0,1080.0,4K Ultra HD (UHD),512GB SSD,512GB SSD,Not Available,SSD,Not Available,2.7GHz,Intel,Core i7 6820HK,Nvidia,GeForce GTX 1080
634,Acer,Gaming,15.6,8GB,1TB HDD,Linux,2400.0,37776.0,No,No,No,1920.0,1080.0,Full HD (FHD),1TB HDD,1TB HDD,Not Available,HDD,Not Available,2.5GHz,Intel,Core i5 7300HQ,Nvidia,GeForce GTX 1050
635,Dell,Ultrabook,13.3,8GB,256GB SSD,Windows 10,1200.0,77251.0,No,No,No,1920.0,1080.0,HD / HD+,256GB SSD,256GB SSD,Not Available,SSD,Not Available,1.6GHz,Intel,Core i5 8250U,Intel,UHD Graphics 620
636,MSI,Gaming,15.6,8GB,128GB SSD +  1TB HDD,Windows 10,2200.0,63499.0,No,No,No,1920.0,1080.0,Full HD (FHD),128GB SSD +  1TB HDD,128GB SSD,1TB HDD,SSD,HDD,2.8GHz,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050 Ti
637,HP,Notebook,15.6,4GB,500GB HDD,No OS,1900.0,19442.0,No,No,No,1366.0,768.0,Full HD (FHD),500GB HDD,500GB HDD,Not Available,HDD,Not Available,2GHz,Intel,Core i3 6006U,Intel,HD Graphics 520
638,Toshiba,Notebook,15.6,8GB,500GB HDD,Windows 10,2000.0,56690.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),500GB HDD,500GB HDD,Not Available,HDD,Not Available,2.5GHz,Intel,Core i5 7200U,Intel,HD Graphics 620
639,Dell,Notebook,15.6,8GB,256GB SSD,Windows 10,6200.0,48964.0,No,No,No,1920.0,1080.0,HD / HD+,256GB SSD,256GB SSD,Not Available,SSD,Not Available,1.8GHz,Intel,Core i7 8550U,AMD,Radeon 530
640,Dell,Notebook,15.6,16GB,256GB SSD +  2TB HDD,Windows 10,2200.0,60473.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD +  2TB HDD,256GB SSD,2TB HDD,SSD,HDD,1.8GHz,Intel,Core i7 8550U,AMD,Radeon 530
641,Lenovo,Gaming,15.6,8GB,128GB SSD +  1TB HDD,Windows 10,3300.0,63723.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),128GB SSD +  1TB HDD,128GB SSD,1TB HDD,SSD,HDD,2.6GHz,Intel,Core i7 6700HQ,Nvidia,GeForce GTX 960
642,Dell,Gaming,17.3,32GB,512GB SSD +  1TB HDD,Windows 10,4400.0,167692.0,No,Yes,No,3840.0,2160.0,HD / HD+,512GB SSD +  1TB HDD,512GB SSD,1TB HDD,SSD,HDD,2.8GHz,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1070
643,Dell,Notebook,14,8GB,256GB SSD,Windows 10,1600.0,65481.0,No,No,No,1920.0,1080.0,Quad HD+ (QHD+),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.4GHz,Intel,Core i5 6300U,Intel,HD Graphics 520
644,Lenovo,Notebook,15.6,4GB,500GB HDD,Windows 10,2200.0,22324.0,No,No,No,1366.0,768.0,Full HD (FHD),500GB HDD,500GB HDD,Not Available,HDD,Not Available,1.1GHz,Intel,Celeron Dual Core N3350,Intel,HD Graphics 500
645,Lenovo,Notebook,15.6,4GB,500GB HDD,Windows 10,2200.0,28505.0,No,No,No,1920.0,1080.0,Full HD (FHD),500GB HDD,500GB HDD,Not Available,HDD,Not Available,2.3GHz,Intel,Core i5 6200U,Intel,HD Graphics 520
646,HP,Notebook,15.6,6GB,1TB HDD,Windows 10,2000.0,28718.0,No,No,No,1920.0,1080.0,Full HD (FHD),1TB HDD,1TB HDD,Not Available,HDD,Not Available,2GHz,Intel,Core i3 6006U,AMD,Radeon R5 M430
647,MSI,Gaming,17.3,8GB,128GB SSD +  1TB HDD,Windows 10,2700.0,79215.0,No,No,No,1920.0,1080.0,Full HD (FHD),128GB SSD +  1TB HDD,128GB SSD,1TB HDD,SSD,HDD,2.8GHz,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1060
648,Toshiba,Notebook,15.6,4GB,128GB SSD,Windows 10,2100.0,26533.0,No,No,No,1366.0,768.0,Full HD (FHD),128GB SSD,128GB SSD,Not Available,SSD,Not Available,2.1GHz,Intel,Core i3 6100U,Intel,HD Graphics 520
649,HP,Notebook,15.6,8GB,1TB HDD,Windows 10,2100.0,39694.0,No,No,No,1920.0,1080.0,HD / HD+,1TB HDD,1TB HDD,Not Available,HDD,Not Available,2.7GHz,Intel,Core i7 7500U,AMD,Radeon 530
650,Toshiba,Notebook,15.6,8GB,256GB SSD,Windows 10,2000.0,67026.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.5GHz,Intel,Core i5 7200U,Intel,HD Graphics 620
651,Acer,Notebook,15.6,4GB,128GB SSD,Linux,2100.0,21951.0,No,No,No,1366.0,768.0,Full HD (FHD),128GB SSD,128GB SSD,Not Available,SSD,Not Available,2GHz,Intel,Core i3 6006U,Intel,HD Graphics 520
652,Microsoft,Ultrabook,13.5,8GB,256GB SSD,Windows 10 S,1300.0,99519.0,Yes,No,No,2256.0,1504.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.8GHz,Intel,Core i7 7600U,Intel,Iris Plus Graphics 640
653,Lenovo,Notebook,15.6,8GB,128GB SSD +  1TB HDD,Windows 10,1900.0,43580.0,No,No,No,1920.0,1080.0,HD / HD+,128GB SSD +  1TB HDD,128GB SSD,1TB HDD,SSD,HDD,2.5GHz,Intel,Core i5 7200U,AMD,Radeon R5 M430
654,Lenovo,2 in 1 Convertible,13.3,8GB,256GB SSD,Windows 10,1300.0,55092.0,Yes,Yes,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.5GHz,Intel,Core i5 7200U,Intel,HD Graphics 620
656,HP,2 in 1 Convertible,14,4GB,128GB SSD,Windows 10,1600.0,37243.0,Yes,Yes,No,1920.0,1080.0,Full HD (FHD),128GB SSD,128GB SSD,Not Available,SSD,Not Available,2.4GHz,Intel,Core i3 7100U,Nvidia,GeForce 940MX
657,MSI,Gaming,15.6,16GB,256GB SSD +  1TB HDD,Windows 10,2400.0,68944.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD +  1TB HDD,256GB SSD,1TB HDD,SSD,HDD,2.8GHz,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050
658,Asus,Ultrabook,14,8GB,256GB SSD,Windows 10,1100.0,60473.0,No,No,No,1920.0,1080.0,HD / HD+,256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.5GHz,Intel,Core i5 7200U,Intel,HD Graphics 620
659,HP,2 in 1 Convertible,11.6,8GB,64GB Flash Storage,Chrome OS,1400.0,26374.0,Yes,No,No,1366.0,768.0,HD / HD+,64GB Flash Storage,64GB Flash Storage,Not Available,Flash,Not Available,1.1GHz,Intel,Celeron Dual Core N3350,Intel,HD Graphics 500
660,LG,Ultrabook,15.6,8GB,512GB SSD,Windows 10,1100.0,122491.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),512GB SSD,512GB SSD,Not Available,SSD,Not Available,1.8GHz,Intel,Core i7 8550U,Intel,HD Graphics 620
661,Acer,Gaming,15.6,16GB,256GB SSD,Windows 10,2500.0,69211.0,No,No,No,1920.0,1080.0,HD / HD+,256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.5GHz,Intel,Core i5 7300HQ,Nvidia,GeForce GTX 1050 Ti
662,MSI,Gaming,15.6,8GB,256GB SSD,Windows 10,2200.0,53168.0,No,No,No,1920.0,1080.0,HD / HD+,256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.5GHz,Intel,Core i5 7300HQ,Nvidia,GeForce GTX 1050
663,Asus,Notebook,15.6,4GB,128GB SSD,Windows 10,1900.0,22324.0,No,No,No,1366.0,768.0,Full HD (FHD),128GB SSD,128GB SSD,Not Available,SSD,Not Available,1.1GHz,Intel,Celeron Dual Core N3350,Intel,HD Graphics 500
664,Dell,Gaming,15.6,16GB,128GB SSD +  1TB HDD,Windows 10,3200.0,109277.0,No,No,No,1920.0,1080.0,Full HD (FHD),128GB SSD +  1TB HDD,128GB SSD,1TB HDD,SSD,HDD,2.5GHz,Intel,Core i5 7300HQ,Nvidia,GeForce GTX 1060
665,HP,Notebook,17.3,4GB,256GB SSD,Windows 10,2500.0,37243.0,No,Yes,No,1920.0,1080.0,Quad HD (QHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2GHz,Intel,Core i3 6006U,AMD,Radeon R5 520
666,Lenovo,2 in 1 Convertible,13.3,8GB,512GB SSD,Windows 10,1200.0,79867.0,Yes,Yes,No,1920.0,1080.0,Full HD (FHD),512GB SSD,512GB SSD,Not Available,SSD,Not Available,1.8GHz,Intel,Core i7 8550U,Intel,UHD Graphics 620
667,Dell,Gaming,15.6,16GB,256GB SSD +  1TB HDD,Windows 10,3500.0,149917.0,No,No,No,1920.0,1080.0,HD / HD+,256GB SSD +  1TB HDD,256GB SSD,1TB HDD,SSD,HDD,2.9GHz,Intel,Core i7 7820HK,Nvidia,GeForce GTX 1070
668,HP,Notebook,15.6,4GB,500GB HDD,Windows 10,1900.0,32640.0,No,No,No,1366.0,768.0,Full HD (FHD),500GB HDD,500GB HDD,Not Available,HDD,Not Available,2.5GHz,Intel,Core i5 7200U,AMD,Radeon 520
669,Dell,Notebook,15.6,4GB,1TB HDD,Windows 10,2200.0,29073.0,No,No,No,1366.0,768.0,Full HD (FHD),1TB HDD,1TB HDD,Not Available,HDD,Not Available,2GHz,Intel,Core i3 6006U,AMD,Radeon R5 M430
670,HP,Notebook,17.3,6GB,2TB HDD,Windows 10,2600.0,30316.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),2TB HDD,2TB HDD,Not Available,HDD,Not Available,2.4GHz,AMD,A10-Series 9600P,AMD,Radeon R7 M440
671,Lenovo,Notebook,15.6,4GB,500GB HDD,Windows 10,2100.0,16943.0,No,No,No,1366.0,768.0,Full HD (FHD),500GB HDD,500GB HDD,Not Available,HDD,Not Available,1.6GHz,Intel,Celeron Dual Core 3855U,Intel,HD Graphics 510
672,Acer,Notebook,14,4GB,32GB Flash Storage,Chrome OS,1400.0,19980.0,No,No,No,1366.0,768.0,Full HD (FHD),32GB Flash Storage,32GB Flash Storage,Not Available,Flash,Not Available,1.6GHz,Intel,Celeron Dual Core 3855U,Intel,HD Graphics 510
673,Lenovo,Notebook,14,4GB,256GB SSD,Windows 10,1700.0,37243.0,No,No,No,1920.0,1080.0,HD / HD+,256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.5GHz,Intel,Core i5 7200U,Intel,HD Graphics 620
674,HP,Workstation,17.3,8GB,500GB HDD,Windows 10,3100.0,101658.0,No,No,No,1920.0,1080.0,Full HD (FHD),500GB HDD,500GB HDD,Not Available,HDD,Not Available,2.8GHz,Intel,Core i7 7700HQ,Nvidia,Quadro M1200
675,Lenovo,2 in 1 Convertible,14,8GB,256GB SSD,Windows 10,1400.0,137995.0,Yes,No,No,2560.0,1440.0,HD / HD+,256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.7GHz,Intel,Core i7 7500U,Intel,HD Graphics 620
676,Toshiba,Notebook,13.3,8GB,256GB SSD,Windows 10,1500.0,51841.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.5GHz,Intel,Core i5 7200U,Intel,HD Graphics 620
677,Acer,Netbook,11.6,4GB,32GB Flash Storage,Windows 10,1400.0,14332.0,No,No,No,1366.0,768.0,Full HD (FHD),32GB Flash Storage,32GB Flash Storage,Not Available,Flash,Not Available,1.6GHz,Intel,Celeron Dual Core N3050,Intel,HD Graphics
678,Lenovo,2 in 1 Convertible,14,16GB,512GB SSD,Windows 10,1400.0,93187.0,Yes,No,No,1920.0,1080.0,Full HD (FHD),512GB SSD,512GB SSD,Not Available,SSD,Not Available,2.7GHz,Intel,Core i7 7500U,Intel,HD Graphics 620
679,Asus,2 in 1 Convertible,12.5,4GB,64GB Flash Storage,Chrome OS,1200.0,35644.0,Yes,No,No,1920.0,1080.0,Full HD (FHD),64GB Flash Storage,64GB Flash Storage,Not Available,Flash,Not Available,0.9GHz,Intel,Core M M3-6Y30,Intel,HD Graphics 515
680,Toshiba,Ultrabook,13.3,16GB,512GB SSD,Windows 10,1400.0,100007.0,Yes,No,No,1920.0,1080.0,Full HD (FHD),512GB SSD,512GB SSD,Not Available,SSD,Not Available,2.5GHz,Intel,Core i7 6500U,Intel,HD Graphics 520
681,Dell,Gaming,15.6,8GB,1TB HDD,Windows 10,2600.0,43636.0,No,No,No,1920.0,1080.0,Full HD (FHD),1TB HDD,1TB HDD,Not Available,HDD,Not Available,2.5GHz,Intel,Core i5 7300HQ,Nvidia,GeForce GTX 1050
682,Lenovo,Notebook,15.6,4GB,256GB SSD,Windows 10,2200.0,21259.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.9GHz,AMD,A9-Series 9420,AMD,Radeon 530
683,Lenovo,Notebook,15.6,8GB,1TB HDD,Windows 10,2200.0,22857.0,No,No,No,1366.0,768.0,Full HD (FHD),1TB HDD,1TB HDD,Not Available,HDD,Not Available,3.6GHz,AMD,A12-Series 9720P,AMD,Radeon R7
684,Lenovo,Notebook,15.6,4GB,1TB HDD +  1TB HDD,Windows 10,2100.0,33111.0,No,No,No,1920.0,1080.0,Full HD (FHD),1TB HDD +  1TB HDD,1TB HDD,1TB HDD,HDD,HDD,2.5GHz,Intel,Core i5 7200U,Intel,HD Graphics 620
685,Lenovo,Notebook,15.6,4GB,500GB HDD,No OS,1900.0,23976.0,No,No,No,1366.0,768.0,Full HD (FHD),500GB HDD,500GB HDD,Not Available,HDD,Not Available,2GHz,Intel,Core i3 6006U,Intel,HD Graphics 520
686,Dell,Notebook,15.6,8GB,256GB SSD,Windows 10,2200.0,42358.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.5GHz,Intel,Core i5 7200U,Intel,HD Graphics 620
687,Acer,2 in 1 Convertible,13.3,1GB,256GB SSD,Windows 10,1600.0,53227.0,Yes,Yes,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,1.6GHz,Intel,Core i5 8250U,Intel,UHD Graphics 620
688,Lenovo,Workstation,15.6,16GB,512GB SSD,Windows 7,2200.0,98834.0,No,No,No,1920.0,1080.0,HD / HD+,512GB SSD,512GB SSD,Not Available,SSD,Not Available,2.5GHz,Intel,Core i7 6500U,Nvidia,Quadro M520M
689,Lenovo,Notebook,14,8GB,256GB SSD,Windows 10,1800.0,63456.0,No,No,No,1920.0,1080.0,Full HD (FHD),256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.3GHz,Intel,Core i5 6300HQ,Intel,HD Graphics 520
690,HP,Notebook,17.3,6GB,2TB HDD,Windows 10,2700.0,34899.0,No,Yes,No,1920.0,1080.0,Full HD (FHD),2TB HDD,2TB HDD,Not Available,HDD,Not Available,2.5GHz,AMD,A10-Series 9620P,AMD,Radeon 530
691,Lenovo,Gaming,15.6,8GB,128GB SSD +  1TB HDD,Windows 10,2500.0,66547.0,No,Yes,No,1920.0,1080.0,Quad HD (QHD),128GB SSD +  1TB HDD,128GB SSD,1TB HDD,SSD,HDD,2.8GHz,Intel,Core i7 7700HQ,Nvidia,GeForce GTX 1050 Ti
692,Dell,Notebook,14,8GB,256GB SSD,Linux,1600.0,58022.0,No,No,No,1920.0,1080.0,HD / HD+,256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.8GHz,Intel,Core i5 7440HQ,Nvidia,GeForce 930MX
693,Dell,Notebook,15.6,8GB,1TB HDD,Linux,2000.0,38681.0,No,No,No,1920.0,1080.0,Full HD (FHD),1TB HDD,1TB HDD,Not Available,HDD,Not Available,2.5GHz,Intel,Core i5 7200U,Intel,HD Graphics 620
694,Asus,Notebook,14,4GB,32GB Flash Storage,Windows 10,1500.0,15877.0,No,No,No,1920.0,1080.0,4K Ultra HD (UHD),32GB Flash Storage,32GB Flash Storage,Not Available,Flash,Not Available,1.1GHz,Intel,Celeron Dual Core N3350,Intel,HD Graphics 500
695,Dell,Notebook,15.6,16GB,512GB SSD,Windows 10,1900.0,76012.0,No,No,No,1920.0,1080.0,Full HD (FHD),512GB SSD,512GB SSD,Not Available,SSD,Not Available,2.6GHz,Intel,Core i5 7300U,Intel,HD Graphics 620
696,Lenovo,Notebook,14,8GB,256GB SSD,Windows 10,1900.0,45665.0,No,Yes,No,1920.0,1080.0,HD / HD+,256GB SSD,256GB SSD,Not Available,SSD,Not Available,2.5GHz,Intel,Core i5 7200U,Nvidia,GeForce 920MX
